FID,Area_sq,Area_Ha,Type,Name,assisting_org
0,145.644471,14564.45,community forest,Itombwe,strong roots
1,106.538887,10653.89,community forest,Ngweshe,strong roots
2,155.861318,15586.13,community forest,Luindi,strong roots
3,23.033019,2303.30,community forest,Burhinyi,strong roots
4,1100.175112,110017.51,community forest,Bakisi,strong roots
5,642.368536,64236.85,community forest,Basile,strong roots
6,601.409606,60140.96,community forest,Wamuzimu,strong roots
7,3.993775,399.38,community forest,Wamuzimu,strong roots
8,123.021057,12302.11,reforestation,Ngweshe,strong roots
9,112.609702,11260.97,reforestation,Basile,strong roots
10,43.064533,4306.45,reforestation,Basile,strong roots
11,54.545228,5454.52,reforestation,Wamuzimu,strong roots
12,122.84044,12284.04,reforestation zone,Bakisi,strong roots
13,155.861318,15586.13,community forest,Luindi,strong roots
14,23.033019,2303.30,community forest,Burhinyi,strong roots
15,642.368536,64236.85,community forest,Basile,strong roots
16,6000,600000.00,national park,Kahuzi Biega,WWF
17,6500,650000.00,nature reserve,Itombwe,WWF
